"Size of n","Time","Operation"
"2630","0.000000953674316","insert"
"2630","0.000000000000000","delete"
"2630","0.000197172164917","access"
"2640","0.000000953674316","insert"
"2640","0.000000000000000","delete"
"2640","0.000195026397705","access"
"2650","0.000000953674316","insert"
"2650","0.000000000000000","delete"
"2650","0.000202655792236","access"
"2660","0.000000000000000","insert"
"2660","0.000000953674316","delete"
"2660","0.000198841094971","access"
"2670","0.000000000000000","insert"
"2670","0.000001192092896","delete"
"2670","0.000197887420654","access"
"2680","0.000010967254639","insert"
"2680","0.000000953674316","delete"
"2680","0.000197887420654","access"
"2690","0.000000953674316","insert"
"2690","0.000000000000000","delete"
"2690","0.000193119049072","access"
"2700","0.000000000000000","insert"
"2700","0.000000953674316","delete"
"2700","0.000194072723389","access"
"2710","0.000001192092896","insert"
"2710","0.000000953674316","delete"
"2710","0.000194072723389","access"
"2720","0.000001192092896","insert"
"2720","0.000000953674316","delete"
"2720","0.000201940536499","access"
"2730","0.000000953674316","insert"
"2730","0.000000953674316","delete"
"2730","0.000190973281860","access"
"2740","0.000001192092896","insert"
"2740","0.000000000000000","delete"
"2740","0.000188350677490","access"
"2750","0.000000000000000","insert"
"2750","0.000000953674316","delete"
"2750","0.000191926956177","access"
"2760","0.000000000000000","insert"
"2760","0.000000953674316","delete"
"2760","0.000200271606445","access"
"2770","0.000000000000000","insert"
"2770","0.000000000000000","delete"
"2770","0.000187873840332","access"
"2780","0.000000000000000","insert"
"2780","0.000000953674316","delete"
"2780","0.000186920166016","access"
"2790","0.000000000000000","insert"
"2790","0.000000953674316","delete"
"2790","0.000193119049072","access"
"2800","0.000000953674316","insert"
"2800","0.000001192092896","delete"
"2800","0.000189781188965","access"
"2810","0.000000000000000","insert"
"2810","0.000001192092896","delete"
"2810","0.000191926956177","access"
"2820","0.000000953674316","insert"
"2820","0.000000000000000","delete"
"2820","0.000195980072021","access"
"2830","0.000001192092896","insert"
"2830","0.000000953674316","delete"
"2830","0.000207901000977","access"
"2840","0.000000953674316","insert"
"2840","0.000000000000000","delete"
"2840","0.000191926956177","access"
"2850","0.000001192092896","insert"
"2850","0.000000953674316","delete"
"2850","0.000215053558350","access"
"2860","0.000000953674316","insert"
"2860","0.000000000000000","delete"
"2860","0.000193119049072","access"
"2870","0.000000000000000","insert"
"2870","0.000001192092896","delete"
"2870","0.000195264816284","access"
"2880","0.000000000000000","insert"
"2880","0.000000953674316","delete"
"2880","0.000197172164917","access"
"2890","0.000001192092896","insert"
"2890","0.000000000000000","delete"
"2890","0.000196933746338","access"
"2900","0.000000715255737","insert"
"2900","0.000000000000000","delete"
"2900","0.000197887420654","access"
"2910","0.000000953674316","insert"
"2910","0.000001192092896","delete"
"2910","0.000200271606445","access"
"2920","0.000000715255737","insert"
"2920","0.000001192092896","delete"
"2920","0.000203847885132","access"
"2930","0.000000953674316","insert"
"2930","0.000000000000000","delete"
"2930","0.000198841094971","access"
"2940","0.000000953674316","insert"
"2940","0.000000000000000","delete"
"2940","0.000200986862183","access"
"2950","0.000000953674316","insert"
"2950","0.000000000000000","delete"
"2950","0.000200986862183","access"
"2960","0.000000000000000","insert"
"2960","0.000000000000000","delete"
"2960","0.000204086303711","access"
"2970","0.000000953674316","insert"
"2970","0.000000000000000","delete"
"2970","0.000205039978027","access"
"2980","0.000000000000000","insert"
"2980","0.000000715255737","delete"
"2980","0.000209331512451","access"
"2990","0.000000953674316","insert"
"2990","0.000000000000000","delete"
"2990","0.000205993652344","access"
"3000","0.000001192092896","insert"
"3000","0.000000715255737","delete"
"3000","0.000211000442505","access"
"3010","0.000000000000000","insert"
"3010","0.000000000000000","delete"
"3010","0.000213146209717","access"
"3020","0.000000000000000","insert"
"3020","0.000000000000000","delete"
